;Concurso;Data do Sorteio;Bola1;Bola2;Bola3;Bola4;Bola5;Bola6;Ganhadores 6 acertos;Cidade / UF;Rateio 6 acertos;Ganhadores 5 acertos;Rateio 5 acertos;Ganhadores 4 acertos;Rateio 4 acertos;Acumulado 6 acertos;Arrecadação Total;Estimativa prêmio;Acumulado Sorteio Especial Mega da Virada;Observação
1936;1937;07/06/2017;6;10;24;29;43;55;1;FORTALEZA/CE;R$6.310.224,41;71;R$24.966,25;4055;R$624,48;R$0,00;R$30.745.253,00;R$3.000.000,00;R$31.517.855,04;
1940;1941;21/06/2017;1;9;24;38;48;49;1;PERUÍBE/SP;R$26.572.503,56;63;R$38.426,22;4313;R$801,84;R$0,00;R$41.988.908,50;R$3.000.000,00;R$33.566.388,45;
1952;1953;29/07/2017;9;26;29;42;43;45;1;RIO DE JANEIRO/RJ;R$107.956.102,12;237;R$37.495,41;16988;R$747,28;R$0,00;R$154.132.051,50;R$3.000.000,00;R$45.226.024,24;
1956;1957;10/08/2017;2;14;22;23;29;47;1;CURITIBA/PR;R$51.557.331,87;98;R$34.841,20;8329;R$585,63;R$0,00;R$59.222.338,00;R$2.500.000,00;R$48.022.299,37;
1964;1965;06/09/2017;26;28;35;38;48;55;1;JARDIM/MS;R$78.022.245,31;98;R$47.025,82;6377;R$1.032,40;R$0,00;R$79.933.521,50;R$2.500.000,00;R$54.412.749,61;
1973;1974;04/10/2017;4;19;27;38;54;57;1;ASSIS/SP;R$54.268.048,74;141;R$27.566,76;8994;R$617,38;R$0,00;R$67.417.294,00;R$22.000.000,00;R$60.278.787,38;
1974;1975;07/10/2017;8;11;24;26;47;57;1;GUARULHOS/SP;R$22.575.348,57;76;R$33.102,68;5845;R$614,88;R$0,00;R$43.635.819,50;R$3.000.000,00;R$60.940.840,90;
1976;1977;14/10/2017;3;16;28;32;34;37;1;COLATINA/ES;R$5.889.546,54;91;R$18.238,97;4723;R$502,02;R$0,00;R$28.787.773,00;R$2.500.000,00;R$61.782.204,72;
1978;1979;19/10/2017;22;23;29;32;38;45;1;MUZAMBINHO/MG;R$3.951.513,94;32;R$39.401,20;2677;R$672,84;R$0,00;R$21.868.843,50;R$11.500.000,00;R$62.346.706,73;
1981;1982;28/10/2017;4;14;20;24;46;50;1;CURITIBA/PR;R$20.777.195,15;45;R$55.730,37;4144;R$864,54;R$0,00;R$43.498.161,00;R$2.500.000,00;R$64.015.042,52;
1982;1983;01/11/2017;5;6;10;14;22;36;1;COTIA/SP;R$2.598.401,89;73;R$19.322,76;4884;R$412,58;R$0,00;R$24.465.738,50;R$2.000.000,00;R$64.386.242,81;
1991;1992;29/11/2017;5;11;13;21;53;54;2;"CAMPOS BELOS/GO; 
ARAGUARI/MG";R$32.953.918,65;142;R$28.999,41;11405;R$515,80;R$0,00;R$71.423.961,00;R$2.500.000,00;R$70.519.003,07;
1999;2000;31/12/2017;3;6;10;17;34;37;17;"CRUZ DAS ALMAS/BA; 
PRADO/BA; 
URUÇUCA/BA; 
CARMO DO CAJURU/MG; 
CONTAGEM/MG; 
BELÉM/PA; 
RIO AZUL/PR; 
SÃO JOÃO DO TRIUNFO/PR; 
RIO DE JANEIRO/RJ; 
SEROPÉDICA/RJ; 
BRUSQUE/SC; 
GUARULHOS/SP; 
SÃO PAULO/SP";R$18.042.279,04;4862;R$10.565,03;173428;R$423,12;R$0,00;R$890.947.368,50;R$2.000.000,00;R$0,00;
2003;2004;13/01/2018;1;5;14;23;35;45;3;"CURITIBA/PR; 
JULIO DE CASTILHOS/RS; 
SANTA RITA DO PASSA QUATRO/SP";R$4.095.573,45;79;R$28.198,54;6444;R$493,85;R$0,00;R$38.638.484,50;R$12.000.000,00;R$1.755.245,82;
2014;2015;17/02/2018;17;18;27;32;39;58;1;Curitiba/PR;R$104.545.829,37;130;R$51.593,19;12558;R$762,98;R$0,00;R$116.332.797,00;R$3.000.000,00;R$10.929.709,20;
2022;2023;17/03/2018;1;6;7;8;23;56;2;"Curitiba/PR; 
RIO DE JANEIRO/RJ";R$29.864.355,95;217;R$19.603,05;13622;R$446,11;R$0,00;R$73.781.900,50;R$3.000.000,00;R$16.972.919,52;
2027;2028;04/04/2018;7;11;24;36;42;58;4;"VIAMÃO/RS; 
PIRACICABA/SP; 
SÃO PAULO/SP";R$10.251.126,97;261;R$11.811,65;9867;R$446,34;R$0,00;R$53.470.886,00;R$3.000.000,00;R$20.172.038,59;
2029;2030;11/04/2018;4;27;38;40;58;59;1;UNAÍ/MG;R$22.122.662,60;63;R$39.656,35;4017;R$888,49;R$0,00;R$43.333.094,00;R$3.000.000,00;R$21.279.058,18;
2032;2033;20/04/2018;10;18;33;38;40;43;1;BRASÍLIA/DF;R$9.349.630,55;27;R$81.258,67;3644;R$860,11;R$0,00;R$38.053.967,00;R$3.000.000,00;R$22.614.719,73;
2033;2034;25/04/2018;6;7;13;17;22;56;1;SÃO PAULO/SP;R$2.777.651,27;89;R$16.942,34;5597;R$384,86;R$0,00;R$26.153.494,50;R$15.000.000,00;R$23.011.527,07;
2040;2041;16/05/2018;10;12;22;25;42;54;1;BRASÍLIA/DF;R$58.932.070,38;120;R$34.570,08;9310;R$636,55;R$0,00;R$71.952.860,00;R$3.000.000,00;R$28.038.538,79;
2044;2045;30/05/2018;15;25;27;45;46;50;1;PRIMEIRO DE MAIO/PR;R$29.066.470,84;70;R$34.314,21;3921;R$875,13;R$0,00;R$41.661.851,00;R$3.000.000,00;R$30.052.238,63;
2051;2052;23/06/2018;50;51;56;57;58;59;4;"SALVADOR/BA; 
MARANGUAPE/CE; 
MARABÁ/PA; 
CANOAS/RS";R$9.627.559,21;152;R$17.089,52;4816;R$770,52;R$0,00;R$45.054.674,00;R$2.500.000,00;R$33.972.195,67;
2061;2062;25/07/2018;8;10;15;23;25;34;1;SÃO LUIS/MA;R$73.450.153,75;192;R$27.128,74;13804;R$539,04;R$0,00;R$90.343.582,00;R$3.000.000,00;R$40.957.415,53;
2065;2066;08/08/2018;6;25;27;35;45;55;1;SÃO PAULO/SP;R$35.155.103,28;104;R$27.320,77;7345;R$552,63;R$0,00;R$49.282.499,00;R$3.000.000,00;R$43.281.183,82;
2073;2074;01/09/2018;8;18;23;37;42;58;2;"PASSOS/MG; 
SÃO SEBASTIÃO/SP";R$22.327.541,33;172;R$19.405,99;8812;R$541,11;R$0,00;R$57.893.622,50;R$20.000.000,00;R$48.032.377,59;
