;Concurso;Data do Sorteio;Bola1;Bola2;Bola3;Bola4;Bola5;Bola6;Ganhadores 6 acertos;Cidade / UF;Rateio 6 acertos;Ganhadores 5 acertos;Rateio 5 acertos;Ganhadores 4 acertos;Rateio 4 acertos;Acumulado 6 acertos;Arrecadação Total;Estimativa prêmio;Acumulado Sorteio Especial Mega da Virada;Observação
568;569;05/06/2004;3;9;14;15;32;57;1;RJ;R$46.663.532,70;434;R$11.906,37;29922;R$172,04;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (SENA) próximo concurso: R$21.000.000,00 (VINTE E UM MILHÕES DE REAIS).
574;575;26/06/2004;5;18;21;29;35;48;2;"DF; 
SP";R$25.737.016,52;470;R$7.359,84;21660;R$159,10;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (SENA) próximo concurso: R$800.000,00.
577;578;07/07/2004;3;18;23;48;56;58;1;MG;R$3.982.872,62;62;R$12.879,26;3639;R$218,60;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (SENA) próximo concurso: R$1.000.000,00.
578;579;10/07/2004;4;9;15;17;34;39;1;PB;R$1.175.432,13;90;R$7.463,06;5172;R$129,38;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (SENA) próximo concurso: R$10.000.000,00 (DEZ MILHÕES DE REAIS).
580;581;17/07/2004;14;17;25;30;39;52;1;SP;R$11.781.320,02;56;R$22.330,36;4429;R$281,27;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (SENA) próximo concurso: R$900.000,00.
584;585;31/07/2004;12;24;33;36;39;57;1;MG;R$10.166.807,68;124;R$8.468,35;7122;R$146,89;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (SENA) próximo concurso: R$800.000,00.
597;598;15/09/2004;5;16;34;38;50;53;2;"DF; 
RS";R$23.179.951,19;234;R$15.531,40;19229;R$188,29;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (SENA) próximo concurso: R$1.000.000,00.
602;603;02/10/2004;4;8;11;12;29;44;1;SP;R$24.750.883,61;233;R$6.701,50;12565;R$123,80;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (sena) para o próximo concurso: R$1.000.000,00.
605;606;13/10/2004;6;23;32;35;41;55;1;SP;R$11.878.491,65;43;R$20.736,93;3770;R$235,63;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (sena) para o próximo concurso: R$1.000.000,00 (HUM MILHÃO  DE REAIS).
616;617;20/11/2004;3;5;25;33;36;49;2;"RJ; 
SP";R$17.791.387,59;289;R$7.834,50;17341;R$130,08;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (sena) para o próximo concurso: R$ 1.000.000,00.
623;624;15/12/2004;8;23;34;39;43;52;1;MG;R$22.375.180,08;108;R$13.482,59;7284;R$199,16;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (SENA) para o próximo concurso: R$10.000.000,00 (DEZ MILHÕES DE REAIS).
627;628;05/01/2005;8;16;22;30;56;58;1;SP;R$17.373.966,13;76;R$20.331,21;5510;R$279,37;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (sena) para o próximo concurso: R$1.200.000,00.
628;629;08/01/2005;15;16;39;40;47;51;1;SE;R$1.104.456,38;15;R$42.074,53;1865;R$337,13;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (sena) para o próximo concurso: R$9.000.000,00 (NOVE MILHÕES DE REAIS).
630;631;15/01/2005;1;20;28;32;44;47;1;PR;R$10.579.247,17;46;R$21.955,84;3548;R$283,58;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (sena) para o próximo concurso: R$1.000.000,00.
640;641;23/02/2005;1;9;13;17;33;34;1;MG;R$31.923.289,19;366;R$5.766,38;20840;R$100,89;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (SENA) para o próximo concurso: R$1.000.000,00.
646;647;16/03/2005;11;12;14;19;54;56;1;SP;R$17.603.353,15;50;R$25.009,18;5432;R$229,34;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (SENA) para o próximo concurso: R$1.000.000,00 (HUM MILHÃO DE REAIS).
647;648;19/03/2005;5;23;29;42;45;48;3;"MG; 
RJ; 
SC";R$361.199,61;139;R$4.454,67;4869;R$126,69;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (Sena) para o próximo concurso: R$ 1.000.000,00.
653;654;09/04/2005;6;10;11;40;41;56;1;MG;R$15.767.596,35;66;R$20.244,14;4745;R$280,52;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (sena) para o próximo concurso, a ser realizado em 13/04/2005: R$8.000.000,00 (OITO MILHÕES DE REAIS).
656;657;20/04/2005;16;20;33;58;59;60;1;PR;R$11.354.235,39;56;R$18.168,36;3995;R$253,72;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (SENA) próximo concurso, a ser realizado em 23/04/2005: R$1.000.000,00.
666;667;25/05/2005;1;4;5;16;23;49;1;SP;R$34.263.173,55;203;R$11.296,70;15283;R$149,48;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (SENA) próximo concurso, a ser realizado em 28/05/2005: R$1.000.000,00.
668;669;01/06/2005;7;24;27;40;41;49;1;SP;R$2.170.216,15;32;R$20.522,30;2427;R$269,57;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (SENA) próximo concurso, a ser realizado em 04/06/2005: R$10.000.000,00.
678;679;06/07/2005;3;21;25;37;54;58;1;RJ;R$51.890.452,61;448;R$9.610,91;22087;R$194,20;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (SENA) próximo concurso, a ser realizado em 09/07/2005: R$20.000.000,00.
684;685;27/07/2005;5;12;27;33;43;56;1;SP;R$44.331.219,78;347;R$6.029,62;15404;R$135,32;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (sena) para o próximo concurso, a ser realizado em 30/07/2005: R$1.000.000,00.
695;696;03/09/2005;9;16;34;37;53;57;2;"MA; 
MG";R$19.251.302,49;195;R$10.613,53;10814;R$190,66;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (SENA) para o próximo concurso, a ser realizado em 10/09/2005: R$1.500.000,00.
706;707;19/10/2005;1;8;10;36;43;51;2;"MG; 
RO";R$19.919.975,72;140;R$14.306,28;12461;R$160,12;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (sena) para o próximo concurso, a ser realizado em 22/10/2005: R$1.500.000,00.
714;715;19/11/2005;4;12;24;33;36;54;3;"GO; 
MA; 
SP";R$10.825.809,33;237;R$6.910,89;13134;R$124,24;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (sena) para o próximo concurso, a ser realizado em 23/11/2005: R$1.000.000,00.
715;716;23/11/2005;2;7;16;29;32;50;1;RJ;R$945.382,75;37;R$14.600,51;2512;R$214,25;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (sena) para o próximo concurso, a ser realizado em 26/11/2005: R$1.000.000,00.
724;725;31/12/2005;3;9;35;37;41;49;2;"MG; 
RJ";R$15.815.987,63;343;R$10.298,59;20451;R$172,08;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (SENA) para o próximo concurso, a ser realizado em 04/01/2006: R$1.000.000,00.
728;729;14/01/2006;5;18;33;43;56;57;1;MG;R$4.969.519,90;51;R$17.231,34;5041;R$173,67;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (sena) para o próximo concurso, a ser realizado em 18/01/2006: R$9.000.000,00.
733;734;01/02/2006;27;29;43;44;45;54;1;MG;R$16.726.569,98;58;R$19.354,00;3984;R$280,69;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (sena) para o próximo concurso a ser realizado em 04/02/2006: R$8.000.000,00.
739;740;22/02/2006;12;16;28;29;47;50;1;PR;R$26.132.814,65;90;R$17.953,91;6943;R$231,85;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (sena) para o próximo concurso, a ser realizado em 25/02/2006: R$1.000.000,00.
745;746;15/03/2006;1;10;12;25;49;57;2;"RS; 
SP";R$6.995.681,58;114;R$10.206,52;6686;R$173,36;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (sena) para o próximo concurso, a ser realizado em 18/03/2006: R$1.000.000,00.
752;753;08/04/2006;2;7;22;35;43;59;1;BA;R$17.388.228,32;152;R$9.083,97;8630;R$159,40;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (sena) para o próximo concurso, a ser realizado em 12/04/2006: R$1.000.000,00.
763;764;18/05/2006;3;7;45;47;53;55;1;PA;R$40.539.530,90;189;R$16.486,79;15290;R$203,03;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (sena): R$15.000.000,00. SORTEIO DO CONCURSO 765 ADIADO PARA 21/05/2006, ÀS 17 HORAS.
767;768;31/05/2006;4;8;30;33;37;59;1;MG;R$21.024.430,31;93;R$13.647,30;6408;R$197,31;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (SENA) para o próximo concurso, a ser realizado em 03/06/2006: R$1.000.000,00.
773;774;21/06/2006;5;10;37;46;54;58;1;PA;R$16.319.071,08;64;R$16.352,03;4336;R$240,45;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (sena) para o próximo concurso a ser apurado em 24/06/2006: R$7.500.000,00.
782;783;22/07/2006;4;8;21;32;43;48;1;MT;R$28.244.624,32;140;R$10.572,64;8427;R$174,99;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (sena) para o próximo concurso, a ser realizado em 26/07/2006: R$1.000.000,00.
784;785;29/07/2006;5;8;17;35;37;48;1;RJ;R$9.770.979,43;126;R$6.940,06;6657;R$130,87;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (SENA) para o próximo concurso, a ser realizado em 02/08/2006: R$1.000.000,00.
790;791;19/08/2006;9;14;19;35;42;58;1;SP;R$12.212.213,94;114;R$8.665,54;5756;R$170,97;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (sena) para o próximo concurso, a ser realizado em 23/08/2006: R$1.000.000,00.
803;804;04/10/2006;3;13;37;47;56;59;1;SP;R$34.172.202,25;134;R$13.835,88;9937;R$185,88;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (sena) para o próximo concurso, a ser realizado em 07/10/2006: R$11.000.000,00.
810;811;28/10/2006;10;28;32;41;47;57;2;"RS; 
SP";R$14.597.902,39;89;R$17.684,31;5508;R$284,67;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (sena) para o próximo concurso, a ser realizado em 01/11/2006: R$1.000.000,00.
819;820;29/11/2006;10;17;21;32;45;46;2;SP;R$13.046.320,38;82;R$15.456,29;5102;R$247,47;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (Sena) para o próximo concurso, a ser realizado em 02/12/2006: R$1.000.000,00.
831;832;10/01/2007;15;17;23;33;39;49;1;GO;R$52.807.317,17;510;R$13.486,58;37086;R$184,77;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (6 acertos) para o próximo concurso, a ser realizado em 13/01/2007: R$1.500.000,00.
833;834;17/01/2007;10;16;17;34;44;51;1;SP;R$2.820.323,56;42;R$19.887,17;3073;R$270,78;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (sena) para o próximo concurso, a ser realizado em 20/01/2007: R$20.000.000,00.
836;837;27/01/2007;5;6;16;24;34;60;1;GO;R$25.067.473,09;73;R$20.418,03;6233;R$238,23;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (Sena) para o próximo concurso, a ser realizado em 31/01/2007: R$1.000.000,00.
846;847;07/03/2007;14;15;27;42;44;48;1;RS;R$40.484.388,84;242;R$10.411,84;14062;R$178,50;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (Sena) para o próximo concurso, a ser realizado em 10/03/2007: R$1.500.000,00.
847;848;10/03/2007;17;27;32;34;47;56;1;MG;R$1.351.049,04;90;R$8.578,09;4602;R$167,13;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (Sena) para o próximo concurso, a ser realizado em 14/03/2007: R$1.000.000,00.
850;851;21/03/2007;3;16;19;32;35;58;3;SP;R$4.966.312,44;177;R$6.635,61;7593;R$154,10;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (sena) para o próximo concurso, a ser realizado em 24/03/2007: R$ 1.000.000,00.
857;858;14/04/2007;4;18;23;31;37;54;2;"PR; 
SP";R$8.889.537,74;185;R$7.541,37;8821;R$157,56;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (Sena) para o próximo concurso, a ser realizado em 18/04/2007: R$1.000.000,00.
860;861;25/04/2007;39;40;42;47;59;60;1;ES;R$10.840.760,96;34;R$25.977,84;2296;R$383,23;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (Sena) para o próximo concurso a ser realizado em 28/04/2007: R$1.000.000,00.
861;862;28/04/2007;2;8;11;12;19;35;1;RS;R$1.152.211,30;99;R$6.650,57;5632;R$116,46;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (Sena) para o próximo concurso a ser realizado em 02/05/2007: R$1.000.000,00.
868;869;23/05/2007;27;29;42;49;50;51;1;SP;R$16.192.436,64;57;R$20.414,39;3912;R$296,32;R$0,00;R$0,00;R$9.000.000,00;R$0,00;
874;875;13/06/2007;18;20;24;36;53;58;1;SP;R$26.631.943,24;153;R$11.566,24;8240;R$213,95;R$0,00;R$0,00;R$1.500.000,00;R$0,00;
881;882;07/07/2007;17;41;42;44;45;60;1;SC;R$21.492.982,24;81;R$20.989,74;6642;R$255,00;R$0,00;R$0,00;R$1.300.000,00;R$0,00;
887;888;28/07/2007;24;40;50;52;54;60;1;DF;R$18.947.548,96;50;R$28.873,65;3672;R$391,67;R$0,00;R$0,00;R$1.000.000,00;R$0,00;
897;898;01/09/2007;3;4;8;30;45;54;2;"RO; 
SC";R$27.782.053,83;596;R$8.828,84;27120;R$193,29;R$0,00;R$0,00;R$1.500.000,00;R$0,00;
899;900;08/09/2007;4;18;21;34;38;59;1;DF;R$23.334.752,92;89;R$15.842,00;6184;R$227,14;R$0,00;R$0,00;R$1.500.000,00;R$0,00;
904;905;26/09/2007;2;4;15;16;55;57;1;RJ;R$18.405.503,18;89;R$16.931,26;6223;R$241,23;R$0,00;R$0,00;R$1.500.000,00;R$0,00;Ganhador da sena: São Pedro da Aldeia/RJ.
905;906;29/09/2007;7;14;24;29;35;39;1;MT;R$1.583.115,71;49;R$18.461,99;4239;R$212,60;R$0,00;R$0,00;R$1.500.000,00;R$0,00;Ganhador de 6 acertos: Sorriso/MT.
910;911;17/10/2007;1;6;28;29;46;49;1;MT;R$15.981.772,55;63;R$21.657,82;5376;R$252,84;R$0,00;R$0,00;R$1.500.000,00;R$0,00;Ganhador da sena: Lucas do Rio Verde/MT.
912;913;24/10/2007;14;30;36;38;46;59;1;DF;R$2.915.782,13;27;R$30.911,51;2683;R$309,90;R$0,00;R$0,00;R$1.200.000,00;R$0,00;Ganhador de 6 acertos: Brasília/DF.
914;915;31/10/2007;17;20;26;28;48;49;1;GO;R$9.448.268,16;44;R$24.127,91;3580;R$295,43;R$0,00;R$0,00;R$1.500.000,00;R$0,00;Ganhador de 6 acertos: Goiânia/GO.
924;925;05/12/2007;8;22;36;37;46;52;1;SP;R$40.628.613,64;132;R$21.261,85;10214;R$273,74;R$0,00;R$0,00;R$1.200.000,00;R$0,00;GANHADOR DA MEGA SENA: SÃO PAULO/SP.
927;928;15/12/2007;4;10;32;33;49;60;1;SC;R$5.077.029,42;43;R$26.127,01;4246;R$263,59;R$0,00;R$18.230.080,50;R$1.000.000,00;R$0,00;Ganhador da Sena: Balneário Camboriu/sc.
931;932;05/01/2008;2;17;21;36;42;53;1;RN;R$19.685.655,01;196;R$11.370,01;10515;R$211,94;R$0,00;R$0,00;R$1.300.000,00;R$0,00;GANHADOR DE 6 ACERTOS: Tenente Ananias/RN.
935;936;19/01/2008;5;14;22;29;33;44;2;"RJ; 
RS";R$8.699.137,89;144;R$10.297,63;9280;R$159,79;R$0,00;R$0,00;R$1.200.000,00;R$0,00;Ganhadores de 6 acertos: Rio de Janeiro/RJ e Porto Alegre/RS.
942;943;13/02/2008;3;12;23;41;47;58;1;RS;R$20.498.366,41;116;R$14.963,79;7783;R$223,02;R$0,00;R$0,00;R$1.100.000,00;R$0,00;Ganhador de 6 acertos: Gravataí/RS.
946;947;27/02/2008;3;5;11;14;33;58;1;SP;R$16.035.424,27;95;R$15.271,45;8955;R$162,01;R$0,00;R$0,00;R$1.500.000,00;R$0,00;GANHADOR DE 6 ACERTOS: TABOÃO DA SERRA/SP.
952;953;19/03/2008;1;16;39;42;48;55;1;MG;R$20.509.951,37;71;R$23.622,38;5055;R$331,79;R$0,00;R$0,00;R$1.200.000,00;R$0,00;GANHADOR DA SENA: UBERLÂNDIA/MG
954;955;26/03/2008;5;12;21;32;33;35;2;"MG; 
SP";R$5.678.963,92;90;R$12.848,01;6180;R$187,11;R$0,00;R$0,00;R$1.200.000,00;R$0,00;GANHADORES DE 6 ACERTOS: SANTA LUZIA/MG e SÃO JOSÉ DO RIO PRETO/SP.
955;956;29/03/2008;46;47;51;54;57;59;1;SP;R$1.385.109,95;38;R$20.828,72;2468;R$320,70;R$0,00;R$0,00;R$1.300.000,00;R$0,00;GANHADOR DE 6 ACERTOS: GUARULHOS/SP.
957;958;05/04/2008;7;13;22;33;48;51;3;"BA; 
RJ; 
SP";R$978.205,14;269;R$3.535,28;8718;R$109,09;R$0,00;R$0,00;R$1.300.000,00;R$0,00;GANHADORES DA SENA: SÃO PAULO/SP, FEIRA DE SANTANA/BA, RIO DE JANEIRO/RJ.
961;962;19/04/2008;2;11;40;48;49;55;1;RS;R$13.272.508,39;41;R$33.285,83;3554;R$384,00;R$0,00;R$0,00;R$1.200.000,00;R$0,00;GANHADOR DE 6 ACERTOS: PORTO ALEGRE/RS.
968;969;14/05/2008;13;25;35;41;50;56;1;PE;R$21.823.614,22;82;R$22.684,90;6898;R$269,67;R$0,00;R$0,00;R$11.000.000,00;R$0,00;GANHADOR DA SENA: PALMARES/PE.
969;970;17/05/2008;5;21;28;34;54;57;3;"GO; 
PE; 
SP";R$3.712.467,76;108;R$10.992,48;6144;R$193,23;R$0,00;R$0,00;R$1.300.000,00;R$0,00;GANHADORES DE 6 ACERTOS: CRISTALINA/GO, RECIFE/PE, SÃO PAULO/SP.
971;972;24/05/2008;15;18;31;33;34;56;3;"PE; 
SC; 
SP";R$912.435,75;723;R$1.112,86;4082;R$197,11;R$0,00;R$0,00;R$1.200.000,00;R$0,00;GANHADORES DE 6 ACERTOS: OSASCO/SP, BLUMENAU/SC E RECIFE/PE.
976;977;11/06/2008;3;5;7;9;17;32;1;SP;R$16.584.111,63;452;R$3.767,10;24482;R$69,55;R$0,00;R$0,00;R$1.300.000,00;R$0,00;Ganhador de seis acertos: São Paulo/SP.
982;983;02/07/2008;16;22;32;38;40;45;1;SC;R$24.038.180,79;244;R$10.258,56;9930;R$252,07;R$0,00;R$0,00;R$1.500.000,00;R$0,00;Ganhador de seis acertos: Ibirama/SC.
989;990;26/07/2008;2;10;15;18;29;39;2;"MG; 
RO";R$26.586.140,51;290;R$18.062,91;20863;R$251,08;R$0,00;R$0,00;R$2.000.000,00;R$0,00;Ganhadores da Sena: Belo Horizonte/MG e Ji-Paraná/RO.
995;996;16/08/2008;7;15;20;21;23;29;2;"SC; 
SP";R$14.458.257,67;165;R$13.209,87;11901;R$183,15;R$0,00;R$0,00;R$1.500.000,00;R$1.798.320,37;Ganhadores da Sena: Barretos/SP e Joinville/SC.
1001;1002;06/09/2008;3;7;25;31;40;58;1;MG;R$24.880.988,57;174;R$12.267,86;10015;R$213,14;R$0,00;R$0,00;R$1.500.000,00;R$4.155.306,33;GANHADOR DE 6 ACERTOS: LAVRAS/MG.
1002;1003;10/09/2008;5;10;16;23;26;27;1;PE;R$1.609.524,90;86;R$10.159,79;5694;R$153,45;R$0,00;R$0,00;R$1.500.000,00;R$4.385.238,47;GANHADOR DE 6 ACERTOS: CABO DE SANTO AGOSTINHO/PE.
1004;1005;17/09/2008;4;6;12;37;41;42;1;RJ;R$12.989.451,54;67;R$19.748,63;5871;R$225,37;R$0,00;R$0,00;R$1.500.000,00;R$4.981.567,17;GANHADOR DE 6 ACERTOS: RIO DE JANEIRO/RJ.
1005;1006;20/09/2008;2;4;17;33;48;55;1;MG;R$1.675.260,09;136;R$6.686,96;5935;R$153,23;R$0,00;R$0,00;R$1.500.000,00;R$5.220.890,05;GANHADOR DE 6 ACERTOS: JUIZ DE FORA/MG.
1008;1009;01/10/2008;1;6;12;29;34;58;2;"PA; 
SP";R$2.591.825,61;111;R$9.027,57;5083;R$197,14;R$0,00;R$0,00;R$8.000.000,00;R$5.961.411,68;GANHADORES DE 6 ACERTOS: BELÉM/PA e BARUERI/SP.
1012;1013;15/10/2008;7;9;12;19;20;41;1;SP;R$15.668.367,92;178;R$8.371,40;10125;R$147,17;R$0,00;R$0,00;R$1.600.000,00;R$7.364.979,48;Ganhador de seis acertos: Bertioga/SP.
1015;1016;25/10/2008;5;9;11;20;25;60;1;PB;R$13.814.409,97;174;R$8.435,56;9476;R$154,89;R$0,00;R$0,00;R$1.600.000,00;R$8.308.269,91;GANHADOR DE 6 ACERTOS: JOÃO PESSOA/PB.
1020;1021;12/11/2008;2;33;42;43;51;55;1;MG;R$17.819.642,97;46;R$36.624,26;4247;R$396,69;R$0,00;R$0,00;R$1.500.000,00;R$9.928.095,69;GANHADOR DE 6 ACERTOS: BELO HORIZONTE/MG.
1028;1029;10/12/2008;5;16;17;20;24;32;1;RJ;R$32.271.347,11;262;R$11.277,48;17979;R$164,34;R$0,00;R$0,00;R$15.000.000,00;R$13.545.257,02;GANHADOR DE 6 ACERTOS: DUQUE DE CAXIAS/RJ.
1030;1031;17/12/2008;24;33;40;43;46;49;1;SP;R$19.067.463,74;59;R$31.380,11;5508;R$336,14;R$0,00;R$0,00;R$1.600.000,00;R$14.451.257,75;Ganhador de 6 acertos: São José do Rio Preto/SP.
1035;1036;03/01/2009;10;27;36;39;41;52;1;MG;R$44.550.370,27;177;R$23.079,89;11703;R$349,07;R$0,00;R$0,00;R$2.000.000,00;R$2.141.906,21;GANHADOR DE 6 ACERTOS: SÃO JOÃO DEL REI/MG.
1040;1041;21/01/2009;10;12;36;44;54;57;1;RJ;R$29.372.147,91;82;R$27.849,85;8071;R$282,95;R$0,00;R$0,00;R$1.500.000,00;R$4.336.425,82;GANHADOR DE 6 ACERTOS: TERESÓPOLIS/RJ.
1045;1046;07/02/2009;28;40;42;54;55;57;1;SC;R$23.031.543,81;49;R$41.992,34;4875;R$422,08;R$0,00;R$35.145.764,50;R$1.500.000,00;R$6.302.747,62;GANHADOR DE 6 ACERTOS: ITAPOÁ/SC.
1047;1048;14/02/2009;3;16;21;28;38;57;1;SP;R$3.901.088,76;70;R$16.913,47;4990;R$237,26;R$0,00;R$0,00;R$1.700.000,00;R$6.860.046,04;GANHADOR DE 6 ACERTOS: GUARULHOS/SP.
1048;1049;18/02/2009;2;5;17;29;34;52;1;SP;R$1.636.050,81;143;R$6.210,78;6295;R$141,09;R$0,00;R$0,00;R$10.000.000,00;R$7.093.767,61;Ganhador de 6 acertos: São Paulo/SP.
1051;1052;28/02/2009;8;11;15;16;52;57;1;RJ;R$14.557.865,34;77;R$20.599,07;5743;R$276,18;R$0,00;R$27.092.243,50;R$1.500.000,00;R$8.039.923,61;GANHADOR DE 6 ACERTOS: RIO DE JANEIRO/RJ.
1052;1053;04/03/2009;15;27;34;42;49;53;1;RS;R$1.629.650,34;112;R$7.898,82;4385;R$201,75;R$0,00;R$0,00;R$1.500.000,00;R$8.272.730,82;GANHADOR DE 6 ACERTOS: CANOAS/RS.
1054;1055;11/03/2009;12;15;16;20;27;32;2;SP;R$5.273.833,35;86;R$15.552,99;6311;R$211,94;R$0,00;R$0,00;R$1.500.000,00;R$8.878.781,62;GANHADORES DE 6 ACERTOS: TAUBATÉ/SP E CAPIVARI/SP.
1055;1056;14/03/2009;6;8;38;50;53;59;1;DF;R$1.872.397,32;23;R$44.193,23;2350;R$432,53;R$0,00;R$0,00;R$1.600.000,00;R$9.146.266,97;GANHADOR DE 6 ACERTOS: BRASÍLIA/DF.
1057;1058;21/03/2009;18;20;24;45;51;57;1;BA;R$3.671.709,67;50;R$22.593,98;3853;R$293,20;R$0,00;R$0,00;R$1.800.000,00;R$9.670.796,94;GANHADOR DE 6 ACERTOS: SALVADOR/BA.
1058;1059;25/03/2009;1;12;14;16;37;45;1;SP;R$1.600.783,97;63;R$13.793,60;4089;R$212,52;R$0,00;R$0,00;R$8.000.000,00;R$9.899.480,38;GANHADOR DE 6 ACERTOS: SÃO PAULO/SP.
1059;1060;28/03/2009;1;3;16;18;41;42;1;PR;R$8.287.163,48;60;R$20.333,07;5220;R$233,71;R$0,00;R$0,00;R$1.500.000,00;R$10.220.528,85;GANHADOR DE 6 ACERTOS: CURITIBA/PR.
1068;1069;29/04/2009;9;17;28;45;49;53;1;RJ;R$36.400.425,15;275;R$11.807,55;16287;R$284,80;R$0,00;R$0,00;R$17.000.000,00;R$14.495.810,71;GANHADOR DE 6 ACERTOS: NILÓPOLIS/RJ.
1069;1070;02/05/2009;5;8;16;23;41;53;2;"DF; 
SP";R$8.120.833,45;302;R$4.478,33;8729;R$221,34;R$0,00;R$0,00;R$1.500.000,00;R$14.851.720,31;GANHADORES DE 06 ACERTOS: BRASÍLIA/DF E SÃO BERNARDO DO CAMPO/SP.
1076;1077;27/05/2009;5;6;9;11;18;37;2;"BELO HORIZONTE/MG; 
SÃO PAULO/SP";R$14.486.088,42;300;R$8.129,73;19219;R$181,28;R$0,00;R$41.658.547,00;R$2.000.000,00;R$17.917.160,64;AS APOSTAS GANHADORAS DE 6 ACERTOS FORAM REALIZADAS EM BELO HORIZONTE/MG E SÃO PAULO/SP.
1078;1079;03/06/2009;5;12;24;28;36;37;1;INDAIATUBA/SP;R$4.033.499,58;150;R$7.545,01;8339;R$193,88;R$0,00;R$19.331.149,25;R$12.000.000,00;R$18.493.374,90;
1085;1086;27/06/2009;2;4;6;10;23;45;4;"IBIRITÉ/MG; 
LONDRINA/PR; 
LEME/SP; 
SÃO BERNARDO DO CAMPO/SP";R$13.904.065,20;954;R$5.470,55;52159;R$142,93;R$0,00;R$89.142.866,75;R$2.000.000,00;R$23.380.290,70;
1093;1094;25/07/2009;9;10;21;36;41;48;1;RIO DE JANEIRO/RJ;R$55.863.193,02;211;R$25.579,45;18534;R$416,01;R$0,00;R$92.189.270,25;R$25.000.000,00;R$29.198.514,62;
1096;1097;05/08/2009;1;17;21;33;48;56;1;SANTOS/SP;R$34.907.671,59;242;R$12.266,88;13115;R$323,35;R$0,00;R$50.705.642,75;R$2.000.000,00;R$31.237.564,43;
1097;1098;08/08/2009;11;20;21;30;50;52;1;BELÉM/PA;R$2.656.519,77;49;R$29.430,83;3434;R$599,92;R$0,00;R$24.632.326,25;R$2.500.000,00;R$31.617.067,26;
1100;1101;19/08/2009;6;7;10;12;24;57;1;GUARATINGUETA/SP;R$22.310.116,55;284;R$7.904,40;17901;R$179,14;R$0,00;R$38.343.704,00;R$2.000.000,00;R$33.073.498,88;
